"","taxonomy_id","Perct","Reads","Specific_reads","Level","Taxa_names","species","Kingdom","Gram+/-","菌属中文名","菌种中文名","名词解释","ss_esti"
"1",316,0.000173210518827365,56,56,"S","Stutzerimonas stutzeri","Stutzerimonas stutzeri","Bacteria",NA,NA,NA,NA,-4.0019785062278
"2",726,0.00134547456589114,435,435,"S","Haemophilus haemolyticus","Haemophilus haemolyticus","Bacteria","G-","嗜血杆菌属","0","0",435
"3",727,0.521144055476855,168489,168489,"S","Haemophilus influenzae","Haemophilus influenzae","Bacteria","G-","嗜血杆菌属","流感嗜血杆菌","流感嗜血杆菌是引起儿童脑炎的最常见的病原体。大多数流感嗜血杆菌菌株是机会性病原体；也就是说，它们通常生活在宿主体内而不会引起疾病，但只有当其他因素（如病毒感染，免疫功能降低或慢性炎症组织，如过敏）创造了机会时才会引起问题。主要引起细菌性中耳炎，鼻窦炎，结膜炎，以及社区获得肺炎。",168489
"4",729,0.000309304497906009,100,100,"S","Haemophilus parainfluenzae","Haemophilus parainfluenzae","Bacteria","G-","嗜血杆菌属","副流感嗜血杆菌","副流感嗜血杆菌主要寄生在呼吸道，是引起下呼吸道感染的常见致病菌，并与许多感染性疾病如菌血症，脑膜炎，脓毒性关节炎等，人类是唯一的宿主，副流感嗜血杆菌是社区获得性肺炎和其他呼吸道感染的重要致病菌。",0
"5",747,0.000532003736398335,172,172,"S","Pasteurella multocida","Pasteurella multocida","Bacteria","G-","巴斯德菌属","多杀巴斯德菌","革兰氏染色阴性，需氧或兼性厌氧，人畜共患病原体，能够引起呼吸道和多系统疾病，菌血症和咬伤伤口感染，易引起蜂窝织炎。也会引起脑膜炎，多常见于儿童及老年人。呼吸道可能引起大叶性肺炎，脓胸或脓肿。也可引起上呼吸道感染为鼻窦炎、中耳炎、乳突骨炎、会厌炎或咽炎。",172
"6",817,0.00102379788806889,331,331,"S","Bacteroides fragilis","Bacteroides fragilis","Bacteria","G-","拟杆菌属","脆弱拟杆菌","拟杆菌属菌种，革兰阴性厌氧杆菌，属于人类直肠部位的正常菌群，正常情况下能维持消化系统平衡和机体抵抗力。具有机会致病性，尤其对于免疫功能失调或菌群失衡的人群，易造成内源性感染，感染最常见为阑尾炎，败血症，也可见肺脓肿，肝脓肿，转移性脓肿，尿路感染等。推荐奖脆弱拟杆菌和大肠杆菌看作腹腔感染的主要致病菌。",331
"7",851,0.000272187958157288,88,88,"S","Fusobacterium nucleatum","Fusobacterium nucleatum","Bacteria","G-","梭杆菌属","具核梭杆菌","梭杆菌属代表菌种，革兰氏阴性，厌氧，菌体细长，两端尖，有时呈长丝状。是口腔共生菌，可引起人的口腔感染，肺脓肿或胸膜肺部感染。",88
"8",1280,0.411712124117709,133109,133109,"S","Staphylococcus aureus","Staphylococcus aureus","Bacteria","G+","葡萄球菌属","金黄色葡萄球菌","金黄色葡萄球菌是广泛存在于自然界中的革兰氏阳性菌，有较强的毒力及侵袭力，可引起皮肤的浅表感染如疱疹、疥疮等；呼吸道感染如坏死性肺炎、鼻窦炎；中枢神经系统感染多见于术后脑膜炎或与菌血症、心内膜炎相关的脑膜炎或大脑炎；血流感染及由菌血症血行散播引起各器官的感染。",133109
"9",1282,0.0035570017259191,1150,1150,"S","Staphylococcus epidermidis","Staphylococcus epidermidis","Bacteria","G+","葡萄球菌属","表皮葡萄球菌","表皮葡萄球菌是人体皮肤和粘膜上定居的正常菌群之一，为人类机会致病菌，通常致病力很低、近几年来，随着留置静脉导管等侵袭性操作的增多，该菌可寄居在医疗设备上（如人工心脏瓣膜），引起术后感染及亚急性细菌性心内膜炎、腹膜炎、泌尿系感染、眼内炎、中耳炎及各类伤口等感染等，已成为医院感染的重要致病菌。",0.721050755933002
"10",1288,3.7116539748721e-05,12,12,"S","Staphylococcus xylosus","Staphylococcus xylosus","Bacteria","G+","葡萄球菌属","木糖葡萄球菌","木糖葡萄球菌罕见报道与人神经系统感染有关。",12
"11",1290,3.40234947696609e-05,11,11,"S","Staphylococcus hominis","Staphylococcus hominis","Bacteria",NA,NA,NA,NA,-0.674490759476595
"12",1351,0.0429562086691865,13888,13888,"S","Enterococcus faecalis","Enterococcus faecalis","Bacteria","G+","肠球菌属","粪肠球菌","肠球菌属模式菌种，革兰阳性，兼性厌氧，是人类肠道，口腔等部位的正常寄居菌。具有致病性，是导致医院感染的重要病原菌，肠球菌临床分离菌中粪肠球菌占85%095%。感染最常见为尿路感染，医院内尿路感染仅次于大肠埃希菌，一般表现为膀胱炎，肾盂肾炎，少数表现为肾周围脓肿；其次为腹腔盆腔感染，败血症，心内膜炎等。",13888
"13",1352,0.000145373114015824,47,47,"S","Enterococcus faecium","Enterococcus faecium","Bacteria","G+","肠球菌属","屎肠球菌","是革兰阳性，兼性厌氧菌，是人体肠道的正常菌种，具有益生作用，同时具有机会致病性。肠球菌临床分离菌中屎肠球菌占5010%，可导致尿路感染，腹腔盆腔感染，败血症等。",47
"14",1747,0.000386630622382511,125,125,"S","Cutibacterium acnes","Cutibacterium acnes","Bacteria","G+","丙酸杆菌属","痤疮丙酸杆菌","痤疮丙酸杆菌是一种革兰染色阳性的厌氧短杆菌，细胞内寄生，属于皮肤的正常菌群，一般寄居在皮肤的毛囊及皮脂腺中。随着青少年的发育成熟，毛囊口出现角栓，皮脂腺分泌功能也明显增加，因皮脂含有较多脂肪酸等成分，适合P. acnes的生长及繁殖，从而成为痤疮最主要的病因之一。",-2.45225568981134
"15",1833,0.00293529968512802,949,949,"S","Rhodococcus erythropolis","Rhodococcus erythropolis","Bacteria","G+","红球菌属","红串红球菌","红串红球菌通常存在于土壤中，并已在健康人眼的表面被发现，已报道可导致人菌血症、脑膜炎、骨髓炎、腹膜炎等。",-1.21580181485272
"16",2054,8.66052594136824e-05,28,28,"S","Gordonia bronchialis","Gordonia bronchialis","Bacteria","G+","戈登氏菌属","支气管戈登氏菌","支气管戈登菌可引起菌血症，心内膜炎，肺部感染，免疫力低下儿童脑脓肿等案例。",0
"17",2094,5.87678546021416e-05,19,19,"S","Mycoplasmopsis arginini","Mycoplasmopsis arginini","Bacteria",NA,NA,NA,NA,19
"18",2100,0.000176303563806425,57,57,"S","Mesomycoplasma hyorhinis","Mesomycoplasma hyorhinis","Bacteria",NA,NA,NA,NA,57
