"","taxonomy_id","Perct","Reads","Specific_reads","Level","Taxa_names","species","Kingdom","Gram+/-","菌属中文名","菌种中文名","名词解释","ss_esti"
"1",204,0.00110812916630595,64,64,"S","Campylobacter showae","Campylobacter showae","Bacteria",NA,NA,NA,NA,-0.674490759476595
"2",293,0.000761838801835339,44,44,"S","Brevundimonas diminuta","Brevundimonas diminuta","Bacteria","G+","短波单胞菌属","缺陷短波单胞菌","一般分布于自然界的土壤及河湖中，是一种条件致病菌，可引起菌血症，肺炎，腹膜炎，脑膜炎等。主要引起免疫力低下人群的感染，如血液病，肿瘤等免疫缺陷患者或使用免疫抑制剂治疗的骨髓移植或器官移植患者。还有一些其它的因素也可诱发感染，如菌血症，各种抗生素的使用，特别是万古霉素的治疗及使用静脉导管等因素。",44
"3",303,0.0023894035148472,138,138,"S","Pseudomonas putida","Pseudomonas putida","Bacteria","G-","假单胞菌属","恶臭假单胞菌生物型B","恶臭假单胞菌是人类和鱼类共患病原菌，是一种常见的环境污染菌，也是人类咽部的正常菌群。偶可从人类感染标本中分离出，是人类少见的条件致病菌，不为临床所重视。因此，对其临床流行病学与耐药性研究较少，但人体感染后该菌自溶可释放内毒素而使人体出现中毒症状，可造成多器官感染、败血症、感染性休克，甚至危及生命。",0
"4",316,0.000934983984070643,54,54,"S","Stutzerimonas stutzeri","Stutzerimonas stutzeri","Bacteria",NA,NA,NA,NA,-4.09191060749134
"5",329,0.000346290364470609,20,20,"S","Ralstonia pickettii","Ralstonia pickettii","Bacteria","G-","罗尔斯顿菌属","皮氏罗尔斯顿菌","皮氏罗尔斯顿菌是医院内感染的少见条件致病菌。国外文献中的报道多是血液制品、呼吸道治疗液、静脉导管的污染所致的院内感染，可引起脑膜炎、肺炎、骨髓炎、椎间盘炎和菌血症等医院内感染。皮氏罗尔斯顿菌能从肺囊性纤维变性患者呼吸道中发现。",-0.674490759476595
"6",339,0.00135053242143537,78,78,"S","Xanthomonas campestris","Xanthomonas campestris","Bacteria","G-","黄单胞菌属","野油菜黄单胞菌","植物病原菌",0.674490759476595
"7",488,0.00129858886676478,75,75,"S","Neisseria mucosa","Neisseria mucosa","Bacteria",NA,NA,NA,NA,75
"8",490,0.00138516145788243,80,80,"S","Neisseria sicca","Neisseria sicca","Bacteria","G-","奈氏球菌属","干燥奈瑟氏球菌","已报道可引起人眼结膜炎，心内膜炎，骨髓炎，肺炎等感染。",0.674490759476595
"9",495,0.000606008137823565,35,35,"S","Neisseria elongata","Neisseria elongata","Bacteria","G-","奈氏球菌属","","存在于人口咽部，在极少数情况下会引起败血症，骨髓炎和感染性心内膜炎。",0
"10",496,0.00235477447840014,136,136,"S","Neisseria macacae","Neisseria macacae","Bacteria",NA,NA,NA,NA,136
