"","taxonomy_id","Perct","Reads","Specific_reads","Level","Taxa_names","species","Kingdom","Gram+/-","菌属中文名","菌种中文名","名词解释"
"1",9,0.000522583053378126,14,14,"S","Buchnera aphidicola","Buchnera aphidicola","Bacteria","G-","布赫纳氏菌属","","布赫纳氏菌属菌种，是一种蚜虫的初级专性共生菌，可寄主提供必需的营养素。"
"2",470,0.00750279955207167,201,201,"S","Acinetobacter baumannii","Acinetobacter baumannii","Bacteria","G-","不动杆菌属","鲍曼不动杆菌","广泛分布于土壤，水和健康人的皮肤，咽，结膜，唾液，肠胃道，阴道分泌物中，有机会致病性，是导致医院感染的常见菌之一。该菌粘附性强，易粘附在各类医用材料上，常侵犯免疫功能受损宿主（免疫功能受抑制，术后，呼吸机相关性肺炎，烧伤，ICU患者，装置相关感染及营养不良的患者），感染部位还包括脑膜炎（神经外科术后并发感染，大多与侵入性操作有关，如颅脑手术，脑室外引流术，腰大池引流等），肝脓肿，心内膜炎，脑脓肿。血流感染通常是导管相关性血流感染，或继发于院内获得性肺炎或呼吸机相关性肺炎的序列感染。"
"3",553,0.00126913027248974,34,34,"S","Pantoea ananatis","Pantoea ananatis","Bacteria","G-","泛菌属","菠萝泛菌","分离自植物"
"4",562,0.367973124300112,9858,9858,"S","Escherichia coli","Escherichia coli","Bacteria","G-","埃希菌属","大肠埃希菌","是临床上最常见，最重要的埃希菌属菌种，革兰阴性，兼性厌氧，是人类肠道中重要的正常菌群。有机会致病性，能引起免疫力下降宿主的肠道外感染，某些血清型的大肠埃希菌能导致人类肠胃炎。该菌致病物质为黏附素，外毒素，内毒素等。多数在肠道内不致病，但移位至肠道外组织或器官则可引起感染，多为内源性感染，一般导致败血症，新生儿脑膜炎（非内源性），泌尿道感染（多为尿路致病性大肠埃希菌导致）；某些血清型可导致人类胃肠炎，为外源性感染，包括肠产毒性大肠艾希菌，肠侵袭性大肠埃希菌，肠致病性大肠埃希菌，肠出血性大肠埃希菌，肠聚集性大肠埃希菌。"
"5",573,0.030608435983576,820,820,"S","Klebsiella pneumoniae","Klebsiella pneumoniae","Bacteria","G-","克雷伯菌属","肺炎克雷伯菌","广泛存在于自然界以及人类的呼吸道和肠道中，为条件致病菌，亦是院内感染的重要致病菌，可引起呼吸道、泌尿生殖系感染，创伤、败血症及腹泻。"
"6",584,0.00574841358715939,154,154,"S","Proteus mirabilis","Proteus mirabilis","Bacteria","G-","变形菌属","奇异杆菌","是仅次于大肠杆菌，引起泌尿系统感染的主要病原菌，肾结核和膀胱结石的形成可能与其有关。有的菌株还可引起脓毒症、食物中毒、腹膜炎、脑膜炎等。"
"7",632,0.000671892497200448,18,18,"S","Yersinia pestis","Yersinia pestis","Bacteria","G-","耶尔森氏菌属","鼠疫耶尔森氏菌","鼠疫耶尔森氏菌是鼠疫的病原菌。鼠疫是一种人畜共患的自然疫源型烈性传染病，人类鼠疫多为疫鼠的跳蚤叮咬而感染，是我国法定甲类传染病。主要引起咸淑仪、肺鼠疫和败血性鼠疫感染。"
"8",718,0.00130645763344532,35,35,"S","Actinobacillus equuli","Actinobacillus equuli","Bacteria","G-","放线杆菌属","马放线杆菌","放线杆菌属菌种，以马为主要宿主，同时也是很罕见的人类机会致病菌，可通过伤口感染人类，造成脑膜炎，败血症等。"
"9",729,0.00612168719671519,164,164,"S","Haemophilus parainfluenzae","Haemophilus parainfluenzae","Bacteria","G-","嗜血杆菌属","副流感嗜血杆菌","副流感嗜血杆菌主要寄生在呼吸道，是引起下呼吸道感染的常见致病菌，并与许多感染性疾病如菌血症，脑膜炎，脓毒性关节炎等，人类是唯一的宿主，副流感嗜血杆菌是社区获得性肺炎和其他呼吸道感染的重要致病菌。"
"10",732,0.000970511384845091,26,26,"S","Aggregatibacter aphrophilus","Aggregatibacter aphrophilus","Bacteria","0","凝聚杆菌属","嗜沫凝聚杆菌","凝聚杆菌属菌种，是人类的机会致病病原体，可造成罕见的心内膜炎，眼内炎，关节炎，骨髓炎，脑脓肿的多种感染。"
"11",821,0.00235162374020157,63,63,"S","Phocaeicola vulgatus","Phocaeicola vulgatus","Bacteria",NA,NA,NA,NA
"12",1260,0.00384471817842479,103,103,"S","Finegoldia magna","Finegoldia magna","Bacteria","G+","大芬戈尔德菌","大芬戈尔德菌","芬格尔德菌属菌种，革兰阳性，厌氧，是人类的机会致病菌，主要造成少见的骨感染和关节感染。"
"13",1270,0.00828667413213886,222,222,"S","Micrococcus luteus","Micrococcus luteus","Bacteria","G+","微球菌属","藤黄微球菌","是革兰氏阳性，专性需氧菌。藤黄微球菌在土壤，灰尘，水和空气中被发现，并且是哺乳动物皮肤正常菌群的一部分。细菌还定植于人的口腔，粘膜，口咽和上呼吸道。"
"14",1275,0.00115714818962299,31,31,"S","Kocuria rosea","Kocuria rosea","Bacteria",NA,NA,NA,NA
"15",1276,0.00291153415453527,78,78,"S","Kytococcus sedentarius","Kytococcus sedentarius","Bacteria","G+","盖球菌属","坐皮肤球菌","栖息皮肤球菌，通常被认为是定植在皮肤，粘膜和口咽中的非致病菌。在免疫力低下时，可引起脑膜炎，颅内脓肿，关节炎，肺炎与导管相关的败血症等。"
"16",1280,0.0083986562150056,225,225,"S","Staphylococcus aureus","Staphylococcus aureus","Bacteria","G+","葡萄球菌属","金黄色葡萄球菌","金黄色葡萄球菌是广泛存在于自然界中的革兰氏阳性菌，有较强的毒力及侵袭力，可引起皮肤的浅表感染如疱疹、疥疮等；呼吸道感染如坏死性肺炎、鼻窦炎；中枢神经系统感染多见于术后脑膜炎或与菌血症、心内膜炎相关的脑膜炎或大脑炎；血流感染及由菌血症血行散播引起各器官的感染。"
"17",1282,0.00746547219111609,200,200,"S","Staphylococcus epidermidis","Staphylococcus epidermidis","Bacteria","G+","葡萄球菌属","表皮葡萄球菌","表皮葡萄球菌是人体皮肤和粘膜上定居的正常菌群之一，为人类机会致病菌，通常致病力很低、近几年来，随着留置静脉导管等侵袭性操作的增多，该菌可寄居在医疗设备上（如人工心脏瓣膜），引起术后感染及亚急性细菌性心内膜炎、腹膜炎、泌尿系感染、眼内炎、中耳炎及各类伤口等感染等，已成为医院感染的重要致病菌。"
"18",1302,0.000447928331466965,12,12,"S","Streptococcus gordonii","Streptococcus gordonii","Bacteria","G+","链球菌属","格氏链球菌","格氏链球菌，存在于人的口腔中，机会致病，可引起罕见的感染性心内膜炎。"
"19",1303,0.00123180291153415,33,33,"S","Streptococcus oralis","Streptococcus oralis","Bacteria","G+","链球菌属","口腔链球菌","口腔链球菌是缓症链球菌群中一种，是人类口腔常见的正常菌群，主要分布于颊、腭粘膜。在集体免疫力低下时，可引起心内膜炎、前列腺炎等。"
"20",1308,0.0239641657334826,642,642,"S","Streptococcus thermophilus","Streptococcus thermophilus","Bacteria","G+","链球菌属","嗜热链球菌","目前无致病性报道。"
"21",1313,0.0483762597984322,1296,1296,"S","Streptococcus pneumoniae","Streptococcus pneumoniae","Bacteria","G+","链球菌属","肺炎链球菌","肺炎链球菌为口腔和鼻咽部正常菌群，一般不致病。当机体抵抗力下降时，可引起大叶性肺炎或支气管肺炎，还可引起化脓性脑膜炎、中耳炎、乳突炎、鼻窦炎、脑脓肿、菌血症和心内膜炎等。"
"22",1379,0.00574841358715939,154,154,"S","Gemella haemolysans","Gemella haemolysans","Bacteria",NA,NA,NA,NA
"23",1396,0.00698021649869354,187,187,"S","Bacillus cereus","Bacillus cereus","Bacteria","G+","芽胞杆菌属","蜡样芽胞杆菌","蜡样芽胞杆菌引起的细菌性食物中毒比较常见。该菌进入体内后产生耐热和不耐热两种毒素，分别导致呕吐型和腹泻型两类症状。血流感染少见，可并发混合感染包括手术切口感染或肿瘤坏死继发感染；脑膜炎，脑脓肿少见，可由于耳炎，乳突炎，神经外科手术，脑室腹腔分流术并发；眼部感染为创伤后眼内炎的首要致病菌，也可导致角膜炎，眶周脓肿，结膜炎和泪囊炎；心内膜炎为静脉注射吸毒人群罕见的并发症，三尖瓣感染性心内膜炎多为惰性病程；软组织感染为罕见筋膜炎；肺炎为免疫功能受损宿主出现的罕见病原菌，临床表现为炭疽肺炎。"
"24",1452,0.00212765957446809,57,57,"S","Bacillus atrophaeus","Bacillus atrophaeus","Bacteria","G+","芽孢杆菌属","萎缩芽孢杆菌","0"
"25",1660,0.00160507652108996,43,43,"S","Schaalia odontolytica","Schaalia odontolytica","Bacteria","0","0","0","无人类致病性报道。"
"26",1705,0.00082120194102277,22,22,"S","Corynebacterium stationis","Corynebacterium stationis","Bacteria","G+","棒状杆菌属","停滞棒状杆菌","目前无致病性报道。"
"27",1747,0.110600970511385,2963,2963,"S","Cutibacterium acnes","Cutibacterium acnes","Bacteria","G+","丙酸杆菌属","痤疮丙酸杆菌","痤疮丙酸杆菌是一种革兰染色阳性的厌氧短杆菌，细胞内寄生，属于皮肤的正常菌群，一般寄居在皮肤的毛囊及皮脂腺中。随着青少年的发育成熟，毛囊口出现角栓，皮脂腺分泌功能也明显增加，因皮脂含有较多脂肪酸等成分，适合P. acnes的生长及繁殖，从而成为痤疮最主要的病因之一。"
"28",1774,0.00257558790593505,69,69,"S","Mycobacteroides chelonae","Mycobacteroides chelonae","Bacteria","G+","分枝杆菌属","龟分枝杆菌","通常可能会导致软组织感染，包括免疫力正常和免疫力低下病人的手术后或深部感染0播散，龟分枝杆菌可能是病原体也可能是环境污染物。社区获得性感染（蜂窝组织炎，脓肿，骨髓炎）可能会发生或者在医疗操作后发生在免疫功能正常的人身上（在软组织创伤如机动车相撞后偶发分枝杆菌更有可能是病原体）。皮肤疾病一般发生在使用皮质类固醇的免疫抑制患者身上，导管相关性感染（最常见的静脉留置针，也有报道血液透析分流和慢性腹膜透析导管），LASIK术后的角膜炎越来越多的报道。"
"29",1906,0.00250093318402389,67,67,"S","Streptomyces fradiae","Streptomyces fradiae","Bacteria",NA,NA,NA,NA
"30",4932,0.0182094081942337,48,48,"S","Saccharomyces cerevisiae","Saccharomyces cerevisiae","Eukaryota","fun","酵母属","酿酒酵母","酿酒酵母在环境中普遍存在，也是胃肠道和皮肤的正常菌群。但它也可致免疫缺陷患者真菌血症、心内膜炎、腹膜炎及播散性感染。"
"31",5454,0.0178300455235205,47,47,"S","Ascochyta rabiei","Ascochyta rabiei","Eukaryota",NA,NA,NA,NA
"32",5499,0.00834597875569044,22,22,"S","Fulvia fulva","Fulvia fulva","Eukaryota",NA,NA,NA,NA
"33",5507,0.0193474962063733,51,51,"S","Fusarium oxysporum","Fusarium oxysporum","Eukaryota","fun","镰刀菌属","尖孢镰刀菌","常由外伤接种引起人类角膜炎症、眼内、足菌肿，以及甲板、黏膜、皮肤和皮下组织感染，免疫力下降时可引起脑、心、肺等深部感染，甚至真菌血症。"
"34",27350,0.0106221547799697,28,28,"S","Puccinia striiformis","Puccinia striiformis","Eukaryota",NA,NA,NA,NA
"35",28037,0.00298618887644644,80,80,"S","Streptococcus mitis","Streptococcus mitis","Bacteria","G+","链球菌属","缓症链球菌","是缓症链球菌群中一种，是人类口腔常见的正常菌群，主要分布于颊、腭粘膜。在集体免疫力低下时，可引起心内膜炎、前列腺炎等。"
"36",28119,0.0017170586039567,46,46,"S","Bacteroides zoogleoformans","Bacteroides zoogleoformans","Bacteria","G-","拟杆菌属","动胶拟杆菌","0"
"37",28125,0.0013437849944009,36,36,"S","Prevotella bivia","Prevotella bivia","Bacteria","G-","普雷沃菌属","双路普雷沃菌","普雷沃菌属(Prevotella)是近年来从类杆菌属中分出的一个新菌属，最常见的是产黑色素普雷沃菌（P.melaninogenica）。主要集聚于正常人体的口腔、女性生殖道等部位，组成这些部位的正常菌群，仅次于脆弱类杆菌。它是临床上较常见的一种条件致病菌，可引起这些部位的内源性感染，女性生殖道及口腔感染多见，与结缔组织的分解有关。"
"38",28127,0.00123180291153415,33,33,"S","Hoylesella buccalis","Hoylesella buccalis","Bacteria",NA,NA,NA,NA
"39",28901,0.0641657334826428,1719,1719,"S","Salmonella enterica","Salmonella enterica","Bacteria","G-","沙门氏菌属","肠沙门氏菌","一种杆状鞭毛虫兼性需氧革兰氏阴性细菌，它的一些血清是严重的人类病原体。大多数沙门氏菌病是由感染了肠溶链球菌的食物引起的，肠溶链球菌经常感染牛和家禽，尽管其他动物如家猫和仓鼠也被证明是人类感染的来源"
"40",29388,0.00167973124300112,45,45,"S","Staphylococcus capitis","Staphylococcus capitis","Bacteria","G+","葡萄球菌属","头状葡萄球菌","头状葡萄球菌属凝固酶阴性葡萄球菌，既是人类皮肤正常的菌群，又是一种条件致病菌，可引起皮肤软组织感染、血流感染等感染性疾病。"
"41",29394,0.00082120194102277,22,22,"S","Dolosigranulum pigrum","Dolosigranulum pigrum","Bacteria",NA,NA,NA,NA
"42",29447,0.00104516610675625,28,28,"S","Xanthomonas albilineans","Xanthomonas albilineans","Bacteria","G-","黄单胞菌属","甘蔗鳞斑病黄单胞菌","植物病原菌"
