"","taxonomy_id","Perct","Reads","Specific_reads","Level","Taxa_names","species","Kingdom","Gram+/-","菌属中文名","菌种中文名","名词解释"
"1",9,0.000577441293468497,18,18,"S","Buchnera aphidicola","Buchnera aphidicola","Bacteria","G-","布赫纳氏菌属","","布赫纳氏菌属菌种，是一种蚜虫的初级专性共生菌，可寄主提供必需的营养素。"
"2",287,0.00497241113820095,155,155,"S","Pseudomonas aeruginosa","Pseudomonas aeruginosa","Bacteria","G-","假单胞菌属","铜绿色假单胞菌","为条件致病菌，是医院内感染的主要病原菌之一。患代谢性疾病，血液病和恶性肿瘤的患者，以及术后或某些治疗后的患者易感染本菌。经常引起术后伤口感染，也可引起褥疮，脓肿，化脓性中耳炎，对中枢神经系统的感染主要发生在神经外科手术后。"
"3",470,0.00891825997690235,278,278,"S","Acinetobacter baumannii","Acinetobacter baumannii","Bacteria","G-","不动杆菌属","鲍曼不动杆菌","广泛分布于土壤，水和健康人的皮肤，咽，结膜，唾液，肠胃道，阴道分泌物中，有机会致病性，是导致医院感染的常见菌之一。该菌粘附性强，易粘附在各类医用材料上，常侵犯免疫功能受损宿主（免疫功能受抑制，术后，呼吸机相关性肺炎，烧伤，ICU患者，装置相关感染及营养不良的患者），感染部位还包括脑膜炎（神经外科术后并发感染，大多与侵入性操作有关，如颅脑手术，脑室外引流术，腰大池引流等），肝脓肿，心内膜炎，脑脓肿。血流感染通常是导管相关性血流感染，或继发于院内获得性肺炎或呼吸机相关性肺炎的序列感染。"
"4",485,0.00959194148594893,299,299,"S","Neisseria gonorrhoeae","Neisseria gonorrhoeae","Bacteria","G-","奈氏球菌属","淋病奈瑟球菌","革兰氏阴性双球菌,氧化酶阳性，需氧。它会导致性传播生殖泌尿感染淋病以及其他淋球菌病的形式包括播散性淋球菌血症，化脓性关节炎和新生儿淋球菌性眼炎。Glisson囊肝，结膜炎，直肠炎，心肌炎，心内膜炎，脑膜炎等。子宫颈，尿道，直肠的单纯性感染，严重或播散性淋球菌感染，单纯性咽部感染。"
"5",553,0.00144360323367124,45,45,"S","Pantoea ananatis","Pantoea ananatis","Bacteria","G-","泛菌属","菠萝泛菌","分离自植物"
"6",562,0.358045682022328,11161,11161,"S","Escherichia coli","Escherichia coli","Bacteria","G-","埃希菌属","大肠埃希菌","是临床上最常见，最重要的埃希菌属菌种，革兰阴性，兼性厌氧，是人类肠道中重要的正常菌群。有机会致病性，能引起免疫力下降宿主的肠道外感染，某些血清型的大肠埃希菌能导致人类肠胃炎。该菌致病物质为黏附素，外毒素，内毒素等。多数在肠道内不致病，但移位至肠道外组织或器官则可引起感染，多为内源性感染，一般导致败血症，新生儿脑膜炎（非内源性），泌尿道感染（多为尿路致病性大肠埃希菌导致）；某些血清型可导致人类胃肠炎，为外源性感染，包括肠产毒性大肠艾希菌，肠侵袭性大肠埃希菌，肠致病性大肠埃希菌，肠出血性大肠埃希菌，肠聚集性大肠埃希菌。"
"7",573,0.0385923264468112,1203,1203,"S","Klebsiella pneumoniae","Klebsiella pneumoniae","Bacteria","G-","克雷伯菌属","肺炎克雷伯菌","广泛存在于自然界以及人类的呼吸道和肠道中，为条件致病菌，亦是院内感染的重要致病菌，可引起呼吸道、泌尿生殖系感染，创伤、败血症及腹泻。"
"8",584,0.00574233286282561,179,179,"S","Proteus mirabilis","Proteus mirabilis","Bacteria","G-","变形菌属","奇异杆菌","是仅次于大肠杆菌，引起泌尿系统感染的主要病原菌，肾结核和膀胱结石的形成可能与其有关。有的菌株还可引起脓毒症、食物中毒、腹膜炎、脑膜炎等。"
"9",632,0.000641601437187219,20,20,"S","Yersinia pestis","Yersinia pestis","Bacteria","G-","耶尔森氏菌属","鼠疫耶尔森氏菌","鼠疫耶尔森氏菌是鼠疫的病原菌。鼠疫是一种人畜共患的自然疫源型烈性传染病，人类鼠疫多为疫鼠的跳蚤叮咬而感染，是我国法定甲类传染病。主要引起咸淑仪、肺鼠疫和败血性鼠疫感染。"
"10",718,0.00102656229949955,32,32,"S","Actinobacillus equuli","Actinobacillus equuli","Bacteria","G-","放线杆菌属","马放线杆菌","放线杆菌属菌种，以马为主要宿主，同时也是很罕见的人类机会致病菌，可通过伤口感染人类，造成脑膜炎，败血症等。"
"11",727,0.00186064416784294,58,58,"S","Haemophilus influenzae","Haemophilus influenzae","Bacteria","G-","嗜血杆菌属","流感嗜血杆菌","流感嗜血杆菌是引起儿童脑炎的最常见的病原体。大多数流感嗜血杆菌菌株是机会性病原体；也就是说，它们通常生活在宿主体内而不会引起疾病，但只有当其他因素（如病毒感染，免疫功能降低或慢性炎症组织，如过敏）创造了机会时才会引起问题。主要引起细菌性中耳炎，鼻窦炎，结膜炎，以及社区获得肺炎。"
"12",729,0.00420248941357629,131,131,"S","Haemophilus parainfluenzae","Haemophilus parainfluenzae","Bacteria","G-","嗜血杆菌属","副流感嗜血杆菌","副流感嗜血杆菌主要寄生在呼吸道，是引起下呼吸道感染的常见致病菌，并与许多感染性疾病如菌血症，脑膜炎，脓毒性关节炎等，人类是唯一的宿主，副流感嗜血杆菌是社区获得性肺炎和其他呼吸道感染的重要致病菌。"
"13",732,0.000866161940202746,27,27,"S","Aggregatibacter aphrophilus","Aggregatibacter aphrophilus","Bacteria","0","凝聚杆菌属","嗜沫凝聚杆菌","凝聚杆菌属菌种，是人类的机会致病病原体，可造成罕见的心内膜炎，眼内炎，关节炎，骨髓炎，脑脓肿的多种感染。"
"14",821,0.00237392531759271,74,74,"S","Phocaeicola vulgatus","Phocaeicola vulgatus","Bacteria",NA,NA,NA,NA
"15",1260,0.0033684075452329,105,105,"S","Finegoldia magna","Finegoldia magna","Bacteria","G+","大芬戈尔德菌","大芬戈尔德菌","芬格尔德菌属菌种，革兰阳性，厌氧，是人类的机会致病菌，主要造成少见的骨感染和关节感染。"
"16",1270,0.00795585782112152,248,248,"S","Micrococcus luteus","Micrococcus luteus","Bacteria","G+","微球菌属","藤黄微球菌","是革兰氏阳性，专性需氧菌。藤黄微球菌在土壤，灰尘，水和空气中被发现，并且是哺乳动物皮肤正常菌群的一部分。细菌还定植于人的口腔，粘膜，口咽和上呼吸道。"
"17",1275,0.00112280251507763,35,35,"S","Kocuria rosea","Kocuria rosea","Bacteria",NA,NA,NA,NA
"18",1276,0.00266264596432696,83,83,"S","Kytococcus sedentarius","Kytococcus sedentarius","Bacteria","G+","盖球菌属","坐皮肤球菌","栖息皮肤球菌，通常被认为是定植在皮肤，粘膜和口咽中的非致病菌。在免疫力低下时，可引起脑膜炎，颅内脓肿，关节炎，肺炎与导管相关的败血症等。"
"19",1280,0.00946362119851149,295,295,"S","Staphylococcus aureus","Staphylococcus aureus","Bacteria","G+","葡萄球菌属","金黄色葡萄球菌","金黄色葡萄球菌是广泛存在于自然界中的革兰氏阳性菌，有较强的毒力及侵袭力，可引起皮肤的浅表感染如疱疹、疥疮等；呼吸道感染如坏死性肺炎、鼻窦炎；中枢神经系统感染多见于术后脑膜炎或与菌血症、心内膜炎相关的脑膜炎或大脑炎；血流感染及由菌血症血行散播引起各器官的感染。"
"20",1282,0.00449121006031054,140,140,"S","Staphylococcus epidermidis","Staphylococcus epidermidis","Bacteria","G+","葡萄球菌属","表皮葡萄球菌","表皮葡萄球菌是人体皮肤和粘膜上定居的正常菌群之一，为人类机会致病菌，通常致病力很低、近几年来，随着留置静脉导管等侵袭性操作的增多，该菌可寄居在医疗设备上（如人工心脏瓣膜），引起术后感染及亚急性细菌性心内膜炎、腹膜炎、泌尿系感染、眼内炎、中耳炎及各类伤口等感染等，已成为医院感染的重要致病菌。"
"21",1303,0.000577441293468497,18,18,"S","Streptococcus oralis","Streptococcus oralis","Bacteria","G+","链球菌属","口腔链球菌","口腔链球菌是缓症链球菌群中一种，是人类口腔常见的正常菌群，主要分布于颊、腭粘膜。在集体免疫力低下时，可引起心内膜炎、前列腺炎等。"
"22",1307,0.0301552675477993,940,940,"S","Streptococcus suis","Streptococcus suis","Bacteria","G+","链球菌属","猪链球菌","猪链球菌能引起人畜共患的急性传染病，主要通过伤口感染。部分菌株可以引起人类感染，造成细菌性脑炎或中毒样休克综合征。"
"23",1308,0.0186385217502887,581,581,"S","Streptococcus thermophilus","Streptococcus thermophilus","Bacteria","G+","链球菌属","嗜热链球菌","目前无致病性报道。"
"24",1313,0.0282946233799564,882,882,"S","Streptococcus pneumoniae","Streptococcus pneumoniae","Bacteria","G+","链球菌属","肺炎链球菌","肺炎链球菌为口腔和鼻咽部正常菌群，一般不致病。当机体抵抗力下降时，可引起大叶性肺炎或支气管肺炎，还可引起化脓性脑膜炎、中耳炎、乳突炎、鼻窦炎、脑脓肿、菌血症和心内膜炎等。"
"25",1314,0.000577441293468497,18,18,"S","Streptococcus pyogenes","Streptococcus pyogenes","Bacteria","G+","链球菌属","化脓链球菌","化脓链球菌是引起化脓性感染的主要病原菌，致病力最强，可引起痈、蜂窝织炎、急性咽炎、丹毒、脓胞疮、猩红热、医源性创口感染和产后感染等。此外，其感染后也可引起急性、慢性风湿热和急性肾小球肾炎等严重变态反应性并发症"
"26",1379,0.00545361221609136,170,170,"S","Gemella haemolysans","Gemella haemolysans","Bacteria",NA,NA,NA,NA
