"","taxonomy_id","Perct","Reads","Specific_reads","Level","Taxa_names","species","Kingdom","Gram+/-","菌属中文名","菌种中文名","名词解释"
"1",9,0.00121228006946037,37,37,"S","Buchnera aphidicola","Buchnera aphidicola","Bacteria","G-","布赫纳氏菌属","","布赫纳氏菌属菌种，是一种蚜虫的初级专性共生菌，可寄主提供必需的营养素。"
"2",303,0.001245044395662,38,38,"S","Pseudomonas putida","Pseudomonas putida","Bacteria","G-","假单胞菌属","恶臭假单胞菌生物型B","恶臭假单胞菌是人类和鱼类共患病原菌，是一种常见的环境污染菌，也是人类咽部的正常菌群。偶可从人类感染标本中分离出，是人类少见的条件致病菌，不为临床所重视。因此，对其临床流行病学与耐药性研究较少，但人体感染后该菌自溶可释放内毒素而使人体出现中毒症状，可造成多器官感染、败血症、感染性休克，甚至危及生命。"
"3",316,0.000655286524032633,20,20,"S","Stutzerimonas stutzeri","Stutzerimonas stutzeri","Bacteria",NA,NA,NA,NA
"4",354,0.00779790963598834,238,238,"S","Azotobacter vinelandii","Azotobacter vinelandii","Bacteria","G-","自生固氮菌属","维氏固氮菌","自生固氮菌属菌种，专性好氧，广泛应用于农业研究的重要模式生物。"
"5",410,0.00176927361488811,54,54,"S","Methylobacterium organophilum","Methylobacterium organophilum","Bacteria",NA,NA,NA,NA
"6",470,0.00366960453458275,112,112,"S","Acinetobacter baumannii","Acinetobacter baumannii","Bacteria","G-","不动杆菌属","鲍曼不动杆菌","广泛分布于土壤，水和健康人的皮肤，咽，结膜，唾液，肠胃道，阴道分泌物中，有机会致病性，是导致医院感染的常见菌之一。该菌粘附性强，易粘附在各类医用材料上，常侵犯免疫功能受损宿主（免疫功能受抑制，术后，呼吸机相关性肺炎，烧伤，ICU患者，装置相关感染及营养不良的患者），感染部位还包括脑膜炎（神经外科术后并发感染，大多与侵入性操作有关，如颅脑手术，脑室外引流术，腰大池引流等），肝脓肿，心内膜炎，脑脓肿。血流感染通常是导管相关性血流感染，或继发于院内获得性肺炎或呼吸机相关性肺炎的序列感染。"
"7",495,0.00694603715474591,212,212,"S","Neisseria elongata","Neisseria elongata","Bacteria","G-","奈氏球菌属","","存在于人口咽部，在极少数情况下会引起败血症，骨髓炎和感染性心内膜炎。"
"8",562,0.11365944759346,3469,3469,"S","Escherichia coli","Escherichia coli","Bacteria","G-","埃希菌属","大肠埃希菌","是临床上最常见，最重要的埃希菌属菌种，革兰阴性，兼性厌氧，是人类肠道中重要的正常菌群。有机会致病性，能引起免疫力下降宿主的肠道外感染，某些血清型的大肠埃希菌能导致人类肠胃炎。该菌致病物质为黏附素，外毒素，内毒素等。多数在肠道内不致病，但移位至肠道外组织或器官则可引起感染，多为内源性感染，一般导致败血症，新生儿脑膜炎（非内源性），泌尿道感染（多为尿路致病性大肠埃希菌导致）；某些血清型可导致人类胃肠炎，为外源性感染，包括肠产毒性大肠艾希菌，肠侵袭性大肠埃希菌，肠致病性大肠埃希菌，肠出血性大肠埃希菌，肠聚集性大肠埃希菌。"
"9",573,0.0187084302611317,571,571,"S","Klebsiella pneumoniae","Klebsiella pneumoniae","Bacteria","G-","克雷伯菌属","肺炎克雷伯菌","广泛存在于自然界以及人类的呼吸道和肠道中，为条件致病菌，亦是院内感染的重要致病菌，可引起呼吸道、泌尿生殖系感染，创伤、败血症及腹泻。"
"10",584,0.00190033091969464,58,58,"S","Proteus mirabilis","Proteus mirabilis","Bacteria","G-","变形菌属","奇异杆菌","是仅次于大肠杆菌，引起泌尿系统感染的主要病原菌，肾结核和膀胱结石的形成可能与其有关。有的菌株还可引起脓毒症、食物中毒、腹膜炎、脑膜炎等。"
"11",632,0.000622522197831002,19,19,"S","Yersinia pestis","Yersinia pestis","Bacteria","G-","耶尔森氏菌属","鼠疫耶尔森氏菌","鼠疫耶尔森氏菌是鼠疫的病原菌。鼠疫是一种人畜共患的自然疫源型烈性传染病，人类鼠疫多为疫鼠的跳蚤叮咬而感染，是我国法定甲类传染病。主要引起咸淑仪、肺鼠疫和败血性鼠疫感染。"
"12",729,0.0066183938927296,202,202,"S","Haemophilus parainfluenzae","Haemophilus parainfluenzae","Bacteria","G-","嗜血杆菌属","副流感嗜血杆菌","副流感嗜血杆菌主要寄生在呼吸道，是引起下呼吸道感染的常见致病菌，并与许多感染性疾病如菌血症，脑膜炎，脓毒性关节炎等，人类是唯一的宿主，副流感嗜血杆菌是社区获得性肺炎和其他呼吸道感染的重要致病菌。"
"13",735,0.0025883817699289,79,79,"S","Haemophilus parahaemolyticus","Haemophilus parahaemolyticus","Bacteria","G-","嗜血杆菌属","0","0"
"14",821,0.000851872481242423,26,26,"S","Phocaeicola vulgatus","Phocaeicola vulgatus","Bacteria",NA,NA,NA,NA
"15",1019,0.00108122276465384,33,33,"S","Capnocytophaga sputigena","Capnocytophaga sputigena","Bacteria","G-","嗜二氧化碳噬纤维菌属","生痰嗜二氧化碳噬细胞菌","是二氧化碳嗜纤维菌属菌种，属于人类正常口腔菌群，具有较罕见的机会致病性，可导致脓胸，菌血症，新生儿败血症等感染。"
"16",1260,0.00147439467907342,45,45,"S","Finegoldia magna","Finegoldia magna","Bacteria","G+","大芬戈尔德菌","大芬戈尔德菌","芬格尔德菌属菌种，革兰阳性，厌氧，是人类的机会致病菌，主要造成少见的骨感染和关节感染。"
"17",1270,0.0211329904000524,645,645,"S","Micrococcus luteus","Micrococcus luteus","Bacteria","G+","微球菌属","藤黄微球菌","是革兰氏阳性，专性需氧菌。藤黄微球菌在土壤，灰尘，水和空气中被发现，并且是哺乳动物皮肤正常菌群的一部分。细菌还定植于人的口腔，粘膜，口咽和上呼吸道。"
"18",1275,0.00114675141705711,35,35,"S","Kocuria rosea","Kocuria rosea","Bacteria",NA,NA,NA,NA
"19",1280,0.0514399921365617,1570,1570,"S","Staphylococcus aureus","Staphylococcus aureus","Bacteria","G+","葡萄球菌属","金黄色葡萄球菌","金黄色葡萄球菌是广泛存在于自然界中的革兰氏阳性菌，有较强的毒力及侵袭力，可引起皮肤的浅表感染如疱疹、疥疮等；呼吸道感染如坏死性肺炎、鼻窦炎；中枢神经系统感染多见于术后脑膜炎或与菌血症、心内膜炎相关的脑膜炎或大脑炎；血流感染及由菌血症血行散播引起各器官的感染。"
"20",1282,0.0201172962878018,614,614,"S","Staphylococcus epidermidis","Staphylococcus epidermidis","Bacteria","G+","葡萄球菌属","表皮葡萄球菌","表皮葡萄球菌是人体皮肤和粘膜上定居的正常菌群之一，为人类机会致病菌，通常致病力很低、近几年来，随着留置静脉导管等侵袭性操作的增多，该菌可寄居在医疗设备上（如人工心脏瓣膜），引起术后感染及亚急性细菌性心内膜炎、腹膜炎、泌尿系感染、眼内炎、中耳炎及各类伤口等感染等，已成为医院感染的重要致病菌。"
"21",1283,0.00117951574325874,36,36,"S","Staphylococcus haemolyticus","Staphylococcus haemolyticus","Bacteria","G+","葡萄球菌属","溶血葡萄球菌","溶血葡萄球菌是一种凝固酶阴性葡萄球菌，属于人类皮肤、粘膜的正常菌群之一，在机体菌群紊乱的情况下，可引起泌尿生殖道和创伤等部位化脓性感染。"
"22",1290,0.00167098063628321,51,51,"S","Staphylococcus hominis","Staphylococcus hominis","Bacteria",NA,NA,NA,NA
"23",1303,0.00596310736869696,182,182,"S","Streptococcus oralis","Streptococcus oralis","Bacteria","G+","链球菌属","口腔链球菌","口腔链球菌是缓症链球菌群中一种，是人类口腔常见的正常菌群，主要分布于颊、腭粘膜。在集体免疫力低下时，可引起心内膜炎、前列腺炎等。"
"24",1305,0.00262114609613053,80,80,"S","Streptococcus sanguinis","Streptococcus sanguinis","Bacteria","G+","链球菌属","血链球菌","血链球菌，人类口腔正常寄居菌，有少见的机会致病性，可导致心内膜炎。"
"25",1308,0.00432489105861538,132,132,"S","Streptococcus thermophilus","Streptococcus thermophilus","Bacteria","G+","链球菌属","嗜热链球菌","目前无致病性报道。"
"26",1379,0.00193309524589627,59,59,"S","Gemella haemolysans","Gemella haemolysans","Bacteria",NA,NA,NA,NA
"27",1396,0.0132367877854592,404,404,"S","Bacillus cereus","Bacillus cereus","Bacteria","G+","芽胞杆菌属","蜡样芽胞杆菌","蜡样芽胞杆菌引起的细菌性食物中毒比较常见。该菌进入体内后产生耐热和不耐热两种毒素，分别导致呕吐型和腹泻型两类症状。血流感染少见，可并发混合感染包括手术切口感染或肿瘤坏死继发感染；脑膜炎，脑脓肿少见，可由于耳炎，乳突炎，神经外科手术，脑室腹腔分流术并发；眼部感染为创伤后眼内炎的首要致病菌，也可导致角膜炎，眶周脓肿，结膜炎和泪囊炎；心内膜炎为静脉注射吸毒人群罕见的并发症，三尖瓣感染性心内膜炎多为惰性病程；软组织感染为罕见筋膜炎；肺炎为免疫功能受损宿主出现的罕见病原菌，临床表现为炭疽肺炎。"
"28",1583,0.000425936240621212,13,13,"S","Weissella confusa","Weissella confusa","Bacteria",NA,NA,NA,NA
"29",1599,0.00127780872186363,39,39,"S","Latilactobacillus sakei","Latilactobacillus sakei","Bacteria",NA,NA,NA,NA
"30",1660,0.000950165459847318,29,29,"S","Schaalia odontolytica","Schaalia odontolytica","Bacteria","0","0","0","无人类致病性报道。"
"31",1747,0.449166147898168,13709,13709,"S","Cutibacterium acnes","Cutibacterium acnes","Bacteria","G+","丙酸杆菌属","痤疮丙酸杆菌","痤疮丙酸杆菌是一种革兰染色阳性的厌氧短杆菌，细胞内寄生，属于皮肤的正常菌群，一般寄居在皮肤的毛囊及皮脂腺中。随着青少年的发育成熟，毛囊口出现角栓，皮脂腺分泌功能也明显增加，因皮脂含有较多脂肪酸等成分，适合P. acnes的生长及繁殖，从而成为痤疮最主要的病因之一。"
"32",1774,0.00147439467907342,45,45,"S","Mycobacteroides chelonae","Mycobacteroides chelonae","Bacteria","G+","分枝杆菌属","龟分枝杆菌","通常可能会导致软组织感染，包括免疫力正常和免疫力低下病人的手术后或深部感染0播散，龟分枝杆菌可能是病原体也可能是环境污染物。社区获得性感染（蜂窝组织炎，脓肿，骨髓炎）可能会发生或者在医疗操作后发生在免疫功能正常的人身上（在软组织创伤如机动车相撞后偶发分枝杆菌更有可能是病原体）。皮肤疾病一般发生在使用皮质类固醇的免疫抑制患者身上，导管相关性感染（最常见的静脉留置针，也有报道血液透析分流和慢性腹膜透析导管），LASIK术后的角膜炎越来越多的报道。"
"33",1828,0.000556993545427738,17,17,"S","Rhodococcoides fascians","Rhodococcus fascians","Bacteria","G+","红球菌属","束红球菌","束红球菌为植物致病菌。"
"34",2718,0.000360407588217948,11,11,"S","Cardiobacterium hominis","Cardiobacterium hominis","Bacteria","0","心杆菌属","人心杆菌","0"
"35",4932,0.00774487471526196,34,34,"S","Saccharomyces cerevisiae","Saccharomyces cerevisiae","Eukaryota","fun","酵母属","酿酒酵母","酿酒酵母在环境中普遍存在，也是胃肠道和皮肤的正常菌群。但它也可致免疫缺陷患者真菌血症、心内膜炎、腹膜炎及播散性感染。"
"36",5454,0.00501138952164009,22,22,"S","Ascochyta rabiei","Ascochyta rabiei","Eukaryota",NA,NA,NA,NA
"37",5833,0.0161731207289294,71,71,"S","Plasmodium falciparum","Plasmodium falciparum","Eukaryota","par","Plasmodium","恶性疟原虫","疟原虫有蚊虫和人两个宿主，包括蚊体内的有性繁殖和人体内的无性增殖，携带疟原虫的按蚊通过叮咬人而传播，引起疟疾寒热往来发作，俗称“打摆子”。而其他种类的疟原虫会感染它种动物，包括其他灵长目动物、啮齿目动物、鸟类及爬虫类。"
"38",28035,0.000425936240621212,13,13,"S","Staphylococcus lugdunensis","Staphylococcus lugdunensis","Bacteria","G+","葡萄球菌属","路登葡萄球菌","路登葡萄球菌，较为常见与人类感染有关的凝固酶阴性葡萄球菌，可造成严重的骨关节感染，异物相关感染，菌血症和心内膜炎等。"
"39",28037,0.00314537531535664,96,96,"S","Streptococcus mitis","Streptococcus mitis","Bacteria","G+","链球菌属","缓症链球菌","是缓症链球菌群中一种，是人类口腔常见的正常菌群，主要分布于颊、腭粘膜。在集体免疫力低下时，可引起心内膜炎、前列腺炎等。"
"40",28090,0.000753579502637528,23,23,"S","Acinetobacter lwoffii","Acinetobacter lwoffii","Bacteria","G-","不动杆菌属","洛菲不动杆菌","是不动杆菌属菌种，有机会致病性。"
"41",28901,0.0390878411585466,1193,1193,"S","Salmonella enterica","Salmonella enterica","Bacteria","G-","沙门氏菌属","肠沙门氏菌","一种杆状鞭毛虫兼性需氧革兰氏阴性细菌，它的一些血清是严重的人类病原体。大多数沙门氏菌病是由感染了肠溶链球菌的食物引起的，肠溶链球菌经常感染牛和家禽，尽管其他动物如家猫和仓鼠也被证明是人类感染的来源"
"42",29378,0.000524229219226107,16,16,"S","Staphylococcus arlettae","Staphylococcus arlettae","Bacteria",NA,NA,NA,NA
"43",29379,0.000950165459847318,29,29,"S","Staphylococcus auricularis","Staphylococcus auricularis","Bacteria",NA,NA,NA,NA
"44",29388,0.00219520985550932,67,67,"S","Staphylococcus capitis","Staphylococcus capitis","Bacteria","G+","葡萄球菌属","头状葡萄球菌","头状葡萄球菌属凝固酶阴性葡萄球菌，既是人类皮肤正常的菌群，又是一种条件致病菌，可引起皮肤软组织感染、血流感染等感染性疾病。"
"45",29394,0.00104845843845221,32,32,"S","Dolosigranulum pigrum","Dolosigranulum pigrum","Bacteria",NA,NA,NA,NA
"46",29447,0.00058975787162937,18,18,"S","Xanthomonas albilineans","Xanthomonas albilineans","Bacteria","G-","黄单胞菌属","甘蔗鳞斑病黄单胞菌","植物病原菌"
"47",33010,0.00121228006946037,37,37,"S","Cutibacterium avidum","Cutibacterium avidum","Bacteria","0","0","","原属于丙酸杆菌（Propionibacterium）属，是存在于人类皮肤的一种细菌，具有少见的机会致病性，可导致表面，深部，侵袭性感染，包括但不限于乳房感染，皮肤脓肿，感染性心内膜炎，假体感染和器械相关感染。"
"48",33011,0.0137937813308869,421,421,"S","Cutibacterium granulosum","Cutibacterium granulosum","Bacteria","0","0","","原为丙酸杆菌（Propionibacterium）属的颗粒丙酸杆菌（Propionibacterium granulosum），寄生于皮肤，具有机会致病性，可导致罕见的感染性心内膜炎，假体感染等。"
"49",33034,0.00104845843845221,32,32,"S","Anaerococcus prevotii","Anaerococcus prevotii","Bacteria","G-","厌氧球菌属","普氏厌氧球菌","厌氧球菌属菌种，专性厌氧，对人类有罕见的机会致病性，可导致化脓性关节炎。"
